Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;2 revolutions for one measurement, 512 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-04-18 16:03:07.42;0.00:00:00:257;0.35;-0.51;0.78;0.2303;0.07794;-0.1143;0.1749;-27.86;25.83;96.85;75.97;60.08;0.2303;0.2231;0.007248;-6.377;-6.516;-21.398;0.67;123.16;
2023-04-18 16:03:07.68;0.00:00:00:510;0.35;-0.51;0.78;0.2303;0.07798;-0.1144;0.175;-27.86;25.83;96.87;75.97;60.10;0.2303;0.2231;0.007216;-6.377;-6.515;-21.417;0.67;123.17;
2023-04-18 16:03:07.93;0.00:00:00:761;0.35;-0.51;0.78;0.2303;0.07795;-0.1144;0.1749;-27.86;25.82;96.87;75.97;60.11;0.2303;0.2231;0.007201;-6.378;-6.516;-21.426;0.67;123.17;
2023-04-18 16:03:08.18;0.00:00:01:011;0.35;-0.51;0.78;0.2303;0.07802;-0.1143;0.1749;-27.85;25.82;96.85;75.95;60.10;0.2303;0.2231;0.007244;-6.377;-6.516;-21.400;0.67;123.17;
2023-04-18 16:03:08.43;0.00:00:01:265;0.35;-0.52;0.78;0.2305;0.07705;-0.116;0.1745;-28.21;25.70;96.86;75.70;60.43;0.2305;0.2233;0.007232;-6.373;-6.512;-21.407;0.67;123.63;
2023-04-18 16:03:08.68;0.00:00:01:515;0.35;-0.52;0.78;0.2304;0.07705;-0.116;0.1744;-28.20;25.70;96.84;75.68;60.43;0.2304;0.2232;0.007276;-6.374;-6.514;-21.381;0.67;123.63;
2023-04-18 16:03:08.93;0.00:00:01:765;0.35;-0.52;0.78;0.2305;0.07709;-0.1161;0.1744;-28.21;25.69;96.86;75.68;60.46;0.2305;0.2232;0.007234;-6.374;-6.512;-21.406;0.67;123.64;
2023-04-18 16:03:09.20;0.00:00:02:030;0.34;-0.54;0.77;0.2305;0.07547;-0.1195;0.1728;-28.86;25.36;96.86;74.97;61.32;0.2305;0.2232;0.007242;-6.374;-6.512;-21.401;0.67;124.67;
2023-04-18 16:03:09.45;0.00:00:02:283;0.34;-0.54;0.77;0.2306;0.07559;-0.1195;0.1729;-28.84;25.36;96.86;74.97;61.33;0.2306;0.2233;0.007244;-6.372;-6.511;-21.400;0.67;124.66;
2023-04-18 16:03:09.70;0.00:00:02:535;0.34;-0.55;0.77;0.2307;0.07499;-0.122;0.1715;-29.21;25.07;96.84;74.33;62.07;0.2307;0.2234;0.007282;-6.369;-6.509;-21.378;0.67;125.43;
