2023-04-18 15:30:27.590 	Header 	scan 1 	Sequence Started
2023-04-18 15:30:27.593 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:31:08.553 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:31:08.557 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:31:09.060 	Header 	scan 1 	Sequence Completed
2023-04-18 15:32:14.598 	Header 	scan 1 	Sequence Started
2023-04-18 15:32:14.605 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:32:56.363 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:32:56.367 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:32:56.869 	Header 	scan 1 	Sequence Completed
2023-04-18 15:41:30.841 	Header 	scan 1 	Sequence Started
2023-04-18 15:41:30.867 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:41:41.844 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:41:42.346 	Header 	scan 1 	Sequence Completed
2023-04-18 15:41:47.212 	Header 	scan 1 	Sequence Started
2023-04-18 15:41:47.218 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:42:21.990 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:42:21.995 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:42:22.498 	Header 	scan 1 	Sequence Completed
2023-04-18 15:44:06.535 	Header 	scan 1 	Sequence Started
2023-04-18 15:44:06.546 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:44:47.489 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:44:47.492 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:44:47.994 	Header 	scan 1 	Sequence Completed
2023-04-18 15:48:07.475 	Header 	scan 1 	Sequence Started
2023-04-18 15:48:07.481 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:48:25.102 	Header 	scan 1 	Sequence Paused
2023-04-18 15:48:26.993 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:48:27.496 	Header 	scan 1 	Sequence Completed
2023-04-18 15:48:49.110 	Header 	scan 1 	Sequence Started
2023-04-18 15:48:49.114 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:49:32.206 	Header 	scan 1 	Sequence Paused
2023-04-18 15:52:30.905 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:52:31.410 	Header 	scan 1 	Sequence Completed
2023-04-18 15:52:33.669 	Header 	scan 1 	Sequence Started
2023-04-18 15:52:33.675 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:55:42.629 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:55:42.664 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:55:43.166 	Header 	scan 1 	Sequence Completed
2023-04-18 16:03:04.047 	Header 	scan 1 	Sequence Started
