Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;2 revolutions for one measurement, 512 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-04-18 16:06:43.88;0.00:00:00:247;0.29;-0.22;0.93;0.2289;0.06453;-0.04786;0.2057;-18.28;34.33;96.46;89.85;35.10;0.2289;0.2208;0.008096;-6.403;-6.559;-20.917;0.65;103.10;
2023-04-18 16:06:44.15;0.00:00:00:513;0.29;-0.22;0.93;0.2289;0.06453;-0.04795;0.2057;-18.31;34.33;96.48;89.86;35.12;0.2289;0.2209;0.008063;-6.403;-6.559;-20.935;0.65;103.12;
2023-04-18 16:06:44.40;0.00:00:00:765;0.29;-0.22;0.93;0.2292;0.06466;-0.04799;0.2059;-18.29;34.32;96.48;89.85;35.14;0.2292;0.2211;0.008078;-6.398;-6.554;-20.927;0.65;103.12;
2023-04-18 16:06:44.65;0.00:00:01:022;0.29;-0.22;0.93;0.2294;0.06467;-0.048;0.2061;-18.29;34.33;96.48;89.86;35.11;0.2294;0.2213;0.008085;-6.395;-6.550;-20.923;0.65;103.11;
2023-04-18 16:06:44.91;0.00:00:01:283;0.29;-0.22;0.93;0.2295;0.06474;-0.04805;0.2062;-18.29;34.32;96.46;89.84;35.13;0.2295;0.2214;0.008123;-6.392;-6.548;-20.903;0.65;103.12;
2023-04-18 16:06:45.17;0.00:00:01:536;0.29;-0.22;0.93;0.2296;0.06474;-0.04806;0.2063;-18.29;34.33;96.47;89.85;35.12;0.2296;0.2215;0.008097;-6.391;-6.547;-20.917;0.65;103.12;
2023-04-18 16:06:45.42;0.00:00:01:788;0.29;-0.22;0.93;0.2296;0.06478;-0.04812;0.2063;-18.30;34.32;96.47;89.84;35.15;0.2296;0.2215;0.0081;-6.390;-6.546;-20.915;0.65;103.13;
2023-04-18 16:06:45.67;0.00:00:02:039;0.34;-0.23;0.91;0.2295;0.07558;-0.05199;0.2019;-17.26;32.78;96.62;87.96;39.97;0.2295;0.2218;0.007762;-6.392;-6.541;-21.101;0.67;104.44;
2023-04-18 16:06:45.92;0.00:00:02:288;0.34;-0.23;0.91;0.2297;0.07569;-0.05202;0.202;-17.25;32.77;96.62;87.95;39.99;0.2297;0.2219;0.007771;-6.389;-6.539;-21.095;0.67;104.44;
2023-04-18 16:06:46.17;0.00:00:02:541;0.36;-0.24;0.90;0.2295;0.07884;-0.05301;0.2004;-16.96;32.32;96.64;87.32;41.40;0.2295;0.2218;0.007705;-6.393;-6.541;-21.132;0.68;104.82;
2023-04-18 16:06:46.42;0.00:00:02:790;0.37;-0.24;0.90;0.2295;0.08193;-0.05408;0.1991;-16.71;31.87;96.71;86.74;42.78;0.2295;0.222;0.007548;-6.392;-6.537;-21.222;0.68;105.20;
2023-04-18 16:06:46.68;0.00:00:03:048;0.37;-0.24;0.90;0.2296;0.08203;-0.05417;0.1991;-16.72;31.86;96.71;86.72;42.81;0.2296;0.2221;0.007552;-6.390;-6.535;-21.219;0.68;105.22;
2023-04-18 16:06:46.94;0.00:00:03:304;0.41;-0.26;0.88;0.2295;0.09026;-0.05692;0.195;-16.12;30.65;96.84;84.94;46.49;0.2295;0.2222;0.007264;-6.392;-6.532;-21.388;0.70;106.28;
2023-04-18 16:06:47.18;0.00:00:03:551;0.41;-0.26;0.88;0.2295;0.09028;-0.0569;0.1949;-16.11;30.65;96.83;84.93;46.49;0.2295;0.2222;0.007287;-6.392;-6.532;-21.374;0.70;106.27;
2023-04-18 16:06:47.44;0.00:00:03:806;0.44;-0.27;0.86;0.2294;0.0985;-0.0594;0.1904;-15.55;29.43;96.95;82.98;50.14;0.2294;0.2224;0.006991;-6.394;-6.528;-21.555;0.72;107.33;
2023-04-18 16:06:47.71;0.00:00:04:074;0.44;-0.27;0.86;0.2294;0.09853;-0.05947;0.1903;-15.56;29.42;96.96;82.96;50.17;0.2294;0.2224;0.006984;-6.394;-6.529;-21.559;0.72;107.35;
2023-04-18 16:06:47.96;0.00:00:04:327;0.47;-0.28;0.84;0.2291;0.1055;-0.06132;0.186;-15.09;28.37;97.07;81.17;53.24;0.2291;0.2224;0.006713;-6.399;-6.528;-21.731;0.74;108.25;
2023-04-18 16:06:48.21;0.00:00:04:579;0.47;-0.28;0.84;0.2291;0.1055;-0.06132;0.1859;-15.08;28.36;97.07;81.15;53.27;0.2291;0.2224;0.006707;-6.401;-6.530;-21.734;0.74;108.26;
2023-04-18 16:06:48.46;0.00:00:04:831;0.48;-0.29;0.83;0.229;0.1077;-0.06351;0.184;-15.26;27.90;97.16;80.36;54.61;0.229;0.2225;0.0065;-6.401;-6.526;-21.871;0.74;109.04;
2023-04-18 16:06:48.71;0.00:00:05:083;0.52;-0.29;0.80;0.229;0.115;-0.06529;0.1791;-14.79;26.78;97.23;78.21;57.76;0.229;0.2227;0.00634;-6.401;-6.523;-21.979;0.76;110.03;
2023-04-18 16:06:48.96;0.00:00:05:333;0.52;-0.29;0.80;0.2291;0.1151;-0.06532;0.1791;-14.78;26.77;97.24;78.21;57.79;0.2291;0.2227;0.006323;-6.401;-6.522;-21.991;0.76;110.03;
2023-04-18 16:06:49.22;0.00:00:05:584;0.55;-0.30;0.78;0.2289;0.1216;-0.06662;0.1744;-14.35;25.76;97.34;76.19;60.58;0.2289;0.2228;0.006092;-6.403;-6.520;-22.152;0.77;110.90;
2023-04-18 16:06:49.47;0.00:00:05:834;0.55;-0.30;0.78;0.2288;0.1215;-0.06666;0.1744;-14.37;25.76;97.35;76.20;60.58;0.2288;0.2228;0.006065;-6.405;-6.521;-22.172;0.77;110.92;
2023-04-18 16:06:49.72;0.00:00:06:087;0.59;-0.31;0.75;0.2286;0.1308;-0.06851;0.1671;-13.82;24.27;97.52;73.08;64.58;0.2286;0.223;0.00566;-6.409;-6.517;-22.472;0.79;112.29;
2023-04-18 16:06:49.97;0.00:00:06:336;0.59;-0.31;0.75;0.2286;0.1308;-0.06845;0.1671;-13.81;24.26;97.52;73.07;64.58;0.2286;0.223;0.005678;-6.409;-6.518;-22.458;0.79;112.28;
2023-04-18 16:06:50.22;0.00:00:06:590;0.59;-0.31;0.75;0.2285;0.1309;-0.0685;0.1669;-13.81;24.24;97.53;73.03;64.64;0.2285;0.2229;0.005644;-6.411;-6.520;-22.484;0.79;112.32;
2023-04-18 16:06:50.48;0.00:00:06:845;0.62;-0.31;0.72;0.2284;0.1383;-0.06982;0.1605;-13.39;23.01;97.66;70.27;67.82;0.2284;0.2231;0.005351;-6.413;-6.515;-22.716;0.81;113.51;
